company,report_type,year,pdf_filename,page_number,page_label,section_title,word_count,char_count,pdf_path,final_url
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,27,27,I,805,5066,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,28,28,Our Major Development in Electricity: an Integrated Approach,579,3933,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,29,29,FOCUS,487,3384,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,30,30,Our Renewable Electricity Capacity Build-up,458,2709,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,31,31,FOCUS,277,1798,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,32,32,T,417,2849,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,33,33,Disciplined and Sustainable Investments to Support our Strategy,489,3138,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,34,34,Disciplined and Sustainable Investments to Support our Strategy,590,3605,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,35,35,A Resilient Portfolio,502,3174,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
TotalEnergies,sustainability_statement,2026,totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,36,36,A Resilient Portfolio,625,3794,data/raw_pdfs/totalenergies/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf,https://totalenergies.com/system/files/documents/totalenergies_sustainability-climate-2026-progress-report_2026_en.pdf
